idx,combo_name,model_type,roc_auc,accuracy,precision,recall,f1,log_loss,avg_precision
0,occupation_relationship_binned,xgb,0.931574,0.875525,0.790072,0.65355,0.715356,0.270075,0.836512
1,relationship_binned,lgbm,0.931291,0.876651,0.786545,0.665098,0.720742,0.27045,0.836665
2,workclass_binned,lgbm,0.931139,0.874808,0.784875,0.656972,0.71525,0.271093,0.83586
3,all_binned,lgbm,0.930668,0.873682,0.783077,0.653122,0.71222,0.271796,0.833893
4,relationship_workclass_binned,xgb,0.930628,0.875934,0.790806,0.654833,0.716425,0.272229,0.834577
5,occupation_binned,lgbm,0.930545,0.875525,0.790072,0.65355,0.715356,0.271615,0.834624
6,no_binning,lgbm,0.929867,0.876139,0.785137,0.664243,0.719648,0.272803,0.834156
7,relationship_workclass_binned,lgbm,0.929685,0.875934,0.787538,0.659538,0.717877,0.273773,0.832218
8,occupation_workclass_binned,lgbm,0.929671,0.874603,0.783495,0.657827,0.715183,0.273476,0.832395
9,relationship_binned,xgb,0.929445,0.87532,0.781974,0.664243,0.718316,0.274655,0.832636
10,no_binning,xgb,0.929308,0.87491,0.780402,0.664243,0.717652,0.274665,0.83235
11,workclass_binned,xgb,0.928451,0.872454,0.774372,0.65911,0.712107,0.276366,0.830113
12,occupation_workclass_binned,xgb,0.927517,0.871839,0.777892,0.650128,0.708295,0.278457,0.827969
13,occupation_binned,xgb,0.927036,0.872556,0.815349,0.604363,0.694178,0.293755,0.827243
14,all_binned,xgb,0.92639,0.872863,0.81422,0.607357,0.695737,0.297643,0.825686
15,occupation_relationship_binned,lgbm,0.923916,0.870509,0.766518,0.659966,0.709262,0.286235,0.821715
